HMP_BODY_SUBSITE,Strongest_Topic,Count
Stool,0,10
Stool,1,20
Stool,2,18
Stool,3,8
Stool,4,29
Stool,5,12
Stool,6,17
Stool,7,17
Stool,8,20
Stool,9,16
Stool,10,20
