HMP_BODY_SITE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,94,116,139
Airways,1,17,0,11,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,28,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,5,1,0,0,0,1,0
Gastrointestinal Tract,0,0,0,0,0,134,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,0,0,4,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Oral,619,1,359,0,0,1,14,0,1,0,0,151,7,0,133,2,0,0,31,0,28,0,7,3,0,7,0,33,0,43,0,5,1,13,1,62,0,5,0,1,5,4,0,0,7,3,3,0,0,0,4,0,3,3,0,0,4,3,0,2,0,1,5,5,10,0,0,2,2,1,2,1,3,2,1,2,8,0,2,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Skin,1,438,1,68,2,5,7,0,1,7,1,0,1,0,0,3,0,0,0,25,1,1,0,1,2,0,25,0,0,0,12,0,0,0,0,0,1,0,14,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,3,16,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1
Urogenital Tract,2,0,1,1,122,0,0,66,0,0,8,0,0,26,0,0,12,13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
