HMP_BODY_SUBSITE,Strongest_Topic,Count
Attached Keratinized Gingiva,0,11
Attached Keratinized Gingiva,1,170
Buccal Mucosa,0,14
Buccal Mucosa,1,169
Hard Palate,0,2
Hard Palate,1,176
Palatine Tonsils,0,23
Palatine Tonsils,1,163
Saliva,0,9
Saliva,1,153
Subgingival Plaque,0,180
Subgingival Plaque,1,3
Supragingival Plaque,0,189
Throat,0,3
Throat,1,167
Tongue Dorsum,1,190
