HMP_BODY_SUBSITE,Strongest_Topic,Count
Stool,0,6
Stool,1,3
Stool,2,8
Stool,3,10
Stool,4,7
Stool,5,4
Stool,6,8
Stool,7,9
Stool,8,4
Stool,9,6
Stool,10,4
Stool,11,7
Stool,12,5
Stool,13,5
Stool,14,6
Stool,15,4
Stool,16,2
Stool,17,7
Stool,18,18
Stool,19,7
Stool,20,5
Stool,21,5
Stool,22,3
Stool,23,6
Stool,24,12
Stool,25,2
Stool,26,2
Stool,27,3
Stool,28,19
